Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
05/01/2021,Sat,Gilman 1,09:00,11:00,64,Rough Riders,Limback Lumber,
05/01/2021,Sat,Gilman 1,11:30,13:30,65,Ken's Market,Ballard Plumbing,
05/01/2021,Sat,Gilman Playfield #2,11:00,13:15,37,NCLL Harjo Construction,BLL Devils,
05/01/2021,Sat,LW3,11:30,13:30,10,NCLL Lightning Dogs,NCLL Cube Smart Cats,09:00 AM - 05:00 PM
05/01/2021,Sat,LW4,11:30,13:30,11,NESLL Wolfpack,NCLL Cheeto Sloths,09:00 AM - 05:00 PM
05/01/2021,Sat,LW5,11:30,13:00,13,NCLL Koalas,NCLL Purple,09:00 AM - 05:00 PM
05/01/2021,Sat,LW5,14:00,16:00,71,Greenwood Hardware,TNT Taqueria,09:00 AM - 05:00 PM
05/01/2021,Sat,LW6,11:30,13:30,38,MLL Panthers,NCLL Dynamite,09:00 AM - 05:00 PM
05/01/2021,Sat,LW6,14:00,16:00,72,Yellow Jackets,Morgan's Plumbing,09:00 AM - 05:00 PM
05/01/2021,Sat,Lower Ross,11:00,12:30,12,BLL Phoenix,NCLL Bluebirds,09:00 AM - 05:00 PM
05/01/2021,Sat,Loyal Heights 2,09:00,11:00,67,Seattle Stained Glass,The Mailbox Ballard,
05/01/2021,Sat,Magnolia Playfield #2,09:00,11:30,28,NCLL/QALL Reignmakers,MLL Thrillers,
05/01/2021,Sat,QA3,13:00,15:30,69,Reuben's Brewers,Fischer Plumbing,
05/01/2021,Sat,West Queen Anne Playfield #2,14:30,16:30,41,NCLL SantoriniDave.com,QALL Phoenix,
05/04/2021,Tue,LW3,18:30,20:30,74,Limback Lumber,Reuben's Brewers,06:00 PM - 09:00 PM
05/04/2021,Tue,LW5,18:15,20:00,48,QALL Phoenix,NCLL Harjo Construction,06:00 PM - 08:00 PM
05/04/2021,Tue,LW6,18:30,20:30,75,Rough Riders,Ken's Market,06:00 PM - 09:00 PM
05/05/2021,Wed,LW4,18:00,20:00,81,Morgan's Plumbing,Seattle Stained Glass,06:00 PM - 08:00 PM
05/05/2021,Wed,LW5,18:00,20:00,82,NW2,Greenwood Hardware,06:00 PM - 08:00 PM
05/05/2021,Wed,Maple Leaf 2,18:00,20:00,87,TNT Taqueria,Yellow Jackets,
05/06/2021,Thu,LW3,18:30,20:30,49,NCLL SantoriniDave.com,NCLL Dynamite,06:00 PM - 09:00 PM
