Date,Day,Permit,Field,Start time,End time,Home,Away
18-May,Sat,08:30 AM - 05:30 PM,bfday,,,,
18-May,Sat,10:00 AM - 03:00 PM,bitter lake 1,,,,
18-May,Sat,08:30 AM - 07:00 PM,lw3,,,,
18-May,Sat,08:30 AM - 07:00 PM,lw4,,,,
18-May,Sat,08:30 AM - 07:00 PM,lw5,,,,
18-May,Sat,08:30 AM - 07:00 PM,lw6,,,,
18-May,Sat,08:30 AM - 05:30 PM,ross,,,,
19-May,Sun,04:00 PM - 07:00 PM,lw6,,,,
19-May,Sun,09:00 AM - 05:00 PM,ross,,,,
20-May,Mon,05:00 PM - 07:00 PM,bfday,,,,
20-May,Mon,05:00 PM - 07:00 PM,bitter lake 1,,,,
20-May,Mon,05:45 PM - 09:00 PM,lw4,,,,
20-May,Mon,05:45 PM - 09:00 PM,lw5,,,,
20-May,Mon,05:45 PM - 09:00 PM,lw6,,,,
20-May,Mon,05:30 PM - 07:30 PM,ross,,,,
21-May,Tue,05:00 PM - 07:00 PM,bfday,,,,
21-May,Tue,05:45 PM - 09:00 PM,lw3,,,,
21-May,Tue,05:45 PM - 09:00 PM,lw4,,,,
21-May,Tue,05:45 PM - 09:00 PM,lw5,,,,
21-May,Tue,05:45 PM - 08:00 PM,lw6,,,,
21-May,Tue,05:45 PM - 08:15 PM,northacres 2,,,,
21-May,Tue,05:30 PM - 07:30 PM,ross,,,,
21-May,Tue,05:00 PM - 07:00 PM,university,,,,
22-May,Wed,05:00 PM - 07:30 PM,bfday,,,,
22-May,Wed,05:45 PM - 09:00 PM,lw3,,,,
22-May,Wed,05:45 PM - 08:15 PM,lw4,,,,
22-May,Wed,05:45 PM - 08:30 PM,lw5,,,,
22-May,Wed,05:45 PM - 09:00 PM,lw6,,,,
22-May,Wed,05:30 PM - 08:00 PM,ross,,,,
22-May,Wed,05:00 PM - 07:00 PM,university,,,,
23-May,Thu,05:00 PM - 07:00 PM,bfday,,,,
23-May,Thu,05:45 PM - 08:45 PM,lw3,,,,
23-May,Thu,05:45 PM - 08:00 PM,lw4,,,,
23-May,Thu,05:45 PM - 08:00 PM,lw5,,,,
23-May,Thu,05:30 PM - 07:30 PM,ross,,,,
23-May,Thu,05:00 PM - 07:00 PM,university,,,,
24-May,Fri,05:00 PM - 07:30 PM,bfday,,,,
24-May,Fri,05:00 PM - 07:30 PM,bitter lake 1,,,,
24-May,Fri,03:45 PM - 06:00 PM,lw6,,,,
24-May,Fri,06:00 PM - 08:30 PM,northacres 2,,,,
24-May,Fri,05:30 PM - 07:30 PM,ross,,,,
25-May,Sat,08:30 AM - 05:30 PM,bfday,,,,
25-May,Sat,08:30 AM - 05:30 PM,ross,,,,
25-May,Sat,08:30 AM - 05:30 PM,university,,,,
27-May,Mon,05:00 PM - 06:30 PM,bfday,,,,
27-May,Mon,04:30 PM - 06:30 PM,bitter lake 1,,,,
27-May,Mon,07:00 PM - 09:00 PM,lw3,,,,
27-May,Mon,07:00 PM - 09:00 PM,lw4,,,,
27-May,Mon,07:00 PM - 09:00 PM,lw5,,,,
27-May,Mon,07:00 PM - 08:00 PM,lw6,,,,
27-May,Mon,05:00 PM - 07:00 PM,ross,,,,
28-May,Tue,05:00 PM - 06:30 PM,bfday,,,,
28-May,Tue,05:00 PM - 07:00 PM,bitter lake 1,,,,
28-May,Tue,05:45 PM - 08:30 PM,lw3,,,,
28-May,Tue,05:45 PM - 09:00 PM,lw4,,,,
28-May,Tue,05:45 PM - 09:00 PM,lw5,,,,
28-May,Tue,05:45 PM - 09:00 PM,lw6,,,,
28-May,Tue,05:00 PM - 08:00 PM,ross,,,,
29-May,Wed,05:00 PM - 07:30 PM,bfday,,,,
29-May,Wed,05:45 PM - 08:00 PM,lw3,,,,
29-May,Wed,05:45 PM - 08:15 PM,lw4,,,,
29-May,Wed,03:00 PM - 08:30 PM,lw5,,,,
29-May,Wed,05:00 PM - 07:30 PM,ross,,,,
30-May,Thu,05:00 PM - 07:00 PM,bfday,,,,
30-May,Thu,05:45 PM - 08:15 PM,lw4,,,,
30-May,Thu,05:45 PM - 08:30 PM,lw5,,,,
30-May,Thu,05:00 PM - 07:30 PM,ross,,,,
31-May,Fri,05:00 PM - 07:00 PM,bfday,,,,
31-May,Fri,05:30 PM - 07:30 PM,bitter lake 1,,,,
31-May,Fri,05:45 PM - 07:00 PM,lw3,,,,
31-May,Fri,05:45 PM - 09:00 PM,lw4,,,,
31-May,Fri,05:45 PM - 09:00 PM,lw5,,,,
31-May,Fri,05:00 PM - 07:00 PM,lw6,,,,
31-May,Fri,05:00 PM - 07:30 PM,ross,,,,
