Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit,
5/15/2021,Sat,LW3,11:30,13:30,34,NCLL Lightning Dogs,NCLL Cheeto Sloths,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW4,11:30,13:00,33,MLL Montlake Partners,NCLL Purple,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW5,11:30,13:30,65,BLL Blazing Tigers,NCLL SantoriniDave.com,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW5,14:00,16:00,114,TNT Taqueria,Greenwood Hardware,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW5,14:00,16:00,113,Colliers,Rough Riders,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW6,11:30,13:30,47,SLL Strikers,NCLL/QALL Reignmakers,09:00 AM - 05:00 PM,
5/15/2021,Sat,LW6,14:00,16:00,115,Ray's Boathouse,Morgan's Plumbing,09:00 AM - 05:00 PM,
5/15/2021,Sat,Lower Ross,11:00,12:30,32,MLL W.G. Clark,NCLL Bluebirds,09:00 AM - 05:00 PM,
5/15/2021,Sat,Magnolia Playfield #2,9:00,11:15,63,NCLL Harjo Construction,MLL Panthers,,
5/15/2021,Sat,QA3,13:00,15:30,114,Ken's Market,Best Plumbing,,
5/15/2021,Sat,Soundview 4,12:00,15:00,116,Seattle Stained Glass,NW1,,
5/15/2021,Sat,West Queen Anne Playfield #2,12:15,14:00,34,NCLL Koalas,QALL Golden Phoenix,,
5/15/2021,Sat,West Queen Anne Playfield #2,14:15,16:15,67,NCLL Dynamite,QALL Phoenix,,
5/17/2021,,,0:00,0:00,,,TNT Taqueria,,
5/17/2021,,,0:00,0:00,,,Morgan's Plumbing,,
5/17/2021,,,0:00,0:00,,,Seattle Stained Glass,,
5/17/2021,,,0:00,0:00,,,Greenwood Hardware,,
5/17/2021,Mon,Gilman Playfield #2,17:45,20:00,49,NCLL/QALL Reignmakers,BLL Blue Thunder,,
5/17/2021,,LW4,0:00,0:00,,,,06:00 PM - 08:00 PM,
5/17/2021,,LW5,0:00,0:00,,,,06:00 PM - 08:30 PM,
5/17/2021,,LW6,0:00,0:00,,,,06:00 PM - 09:00 PM,
5/17/2021,,Lower Ross,0:00,0:00,,,,05:00 PM - 07:30 PM,
5/18/2021,,,0:00,0:00,,,NCLL Bluebirds,,
5/18/2021,,,0:00,0:00,,,NCLL Koalas,,
5/18/2021,,,0:00,0:00,,,NCLL Purple,,
5/18/2021,Tue,Gilman Playfield #1,17:45,20:00,70,NCLL Dynamite,BLL Blazing Tigers,,
5/18/2021,Tue,LW3,18:30,20:30,122,Ken's Market,Rough Riders,06:00 PM - 09:00 PM,
5/18/2021,,LW4,0:00,0:00,,,,06:00 PM - 08:15 PM,
5/18/2021,Tue,LW5,18:15,20:15,75,NCLL Harjo Construction,NCLL SantoriniDave.com,06:00 PM - 08:15 PM,
5/18/2021,Tue,LW6,18:30,20:30,123,Best Plumbing,Reuben's Brewers,06:00 PM - 09:00 PM,
5/18/2021,,Lower Ross,0:00,0:00,,,,05:00 PM - 07:30 PM,
5/18/2021,Tue,Mickey Merriam Playfield #11,18:00,20:15,40,NCLL Lightning Dogs,NESLL Wolfpack,,
5/18/2021,Tue,Ravenna Park #1,18:00,20:15,41,NCLL Cheeto Sloths,RUGLL Alley Cats,,
5/19/2021,,,0:00,0:00,,,NCLL/QALL Reignmakers,,
5/19/2021,,,0:00,0:00,,,NCLL Cheeto Sloths,,
5/19/2021,,,0:00,0:00,,,NCLL Lightning Dogs,,
5/19/2021,Wed,LW3,18:00,20:00,125,TNT Taqueria,Seattle Stained Glass,06:00 PM - 08:00 PM,
5/19/2021,Wed,LW4,18:00,20:00,126,Panthers,Greenwood Hardware,06:00 PM - 08:15 PM,
5/19/2021,,LW5,0:00,0:00,,,,06:00 PM - 08:15 PM,
5/19/2021,Wed,Lower Ross,17:30,19:45,43,NESLL Golden Girls,NCLL Cube Smart Cats,05:00 PM - 07:30 PM,
5/19/2021,Wed,Maple Leaf 2,18:00,20:00,131,Morgan's Plumbing,Royals,,
5/20/2021,,,0:00,0:00,,,NCLL Harjo Construction,,
5/20/2021,,,0:00,0:00,,,NCLL SantoriniDave.com,,
5/20/2021,,,0:00,0:00,,,NCLL Dynamite,,
5/20/2021,,LW3,0:00,0:00,,,,06:00 PM - 08:00 PM,
5/20/2021,,LW4,0:00,0:00,,,,06:00 PM - 08:15 PM,
5/20/2021,Thu,LW5,18:30,20:30,126,Reuben's Brewers,Ken's Market,06:00 PM - 08:15 PM,
5/20/2021,,LW6,0:00,0:00,,,,06:00 PM - 09:00 PM,
5/20/2021,,Lower Ross,0:00,0:00,,,,05:00 PM - 07:30 PM,
5/20/2021,Thu,QA3,17:30,20:00,128,Rough Riders,Fischer Plumbing,,
5/22/2021,Sat,Ballard Community Center #2,15:15,17:00,44,NCLL Purple,BLL Phoenix,,
5/22/2021,Sat,Gilman 1,13:00,15:00,133,Reuben's Brewers,Ballard Nordics,,
5/22/2021,Sat,Gilman 2,15:30,17:30,136,Reuben's Brewers,Ballard Plumbing,,
5/22/2021,Sat,LW3,11:30,13:30,48,NESLL Golden Girls,NCLL Cheeto Sloths,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW3,14:00,16:00,137,Seattle Stained Glass,Morgan's Plumbing,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW4,11:30,13:30,49,Northeast #3,NCLL Lightning Dogs,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW4,13:30,15:30,137,Albert Lee,Ken's Market,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW4,14:00,16:00,138,Panthers,TNT Taqueria,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW4,16:00,18:00,138,Shore1,Ken's Market,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW5,11:30,13:30,81,BLL Blazing Tigers,NCLL Harjo Construction,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW5,13:30,15:30,139,Albert Lee,Rough Riders,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW5,16:00,18:00,140,Shore1,Rough Riders,09:00 AM - 07:00 PM,
5/22/2021,Sat,LW6,11:30,13:30,57,NESLL/RUGLL LLC,NCLL/QALL Reignmakers,09:00 AM - 07:00 PM,
5/22/2021,Sat,Lower Ross,11:00,12:30,40,NCLL Koalas,NCLL Bluebirds,XXXXXXXX,
5/22/2021,Sat,Loyal Heights Playfield #2,9:00,11:15,79,NCLL SantoriniDave.com,BLL Devils,,
5/22/2021,Sat,Magnolia Playfield #2,9:00,11:15,80,NCLL Dynamite,MLL Phoenix,,
5/22/2021,Sat,Maple Leaf 2,12:00,14:00,141,Greenwood Hardware,Yellow Jackets,,
5/22/2021,Sat,Northacres Park #2,12:30,14:45,51,NCLL Cube Smart Cats,NWLL Ballard Pediatric Denistry,,
5/24/2021,,LW3,0:00,0:00,,,,06:00 PM - 09:00 PM,
5/24/2021,Mon,LW4,18:00,20:00,147,Greenwood Hardware,Morgan's Plumbing,06:00 PM - 09:00 PM,
5/24/2021,Mon,LW5,18:00,20:00,148,Reds,TNT Taqueria,06:00 PM - 09:00 PM,
5/24/2021,Mon,LW6,18:30,20:30,63,MLL Thrillers,NCLL/QALL Reignmakers,06:00 PM - 09:00 PM,
5/24/2021,Mon,Maple Leaf 1,18:00,20:00,152,Seattle Stained Glass,Royals,,
5/25/2021,,,0:00,0:00,,,Ken's Market,,
5/25/2021,,,0:00,0:00,,,Reuben's Brewers,,
5/25/2021,,,0:00,0:00,,,Rough Riders,,
5/25/2021,,,0:00,0:00,,,NCLL SantoriniDave.com,,
5/25/2021,,,0:00,0:00,,,NCLL Dynamite,,
5/25/2021,Tue,LW3,18:30,20:30,89,BLL Devils,NCLL Harjo Construction,06:00 PM - 09:00 PM,
5/25/2021,,LW4,0:00,0:00,,,,06:00 PM - 08:00 PM,
5/25/2021,,LW5,0:00,0:00,,,,06:00 PM - 08:00 PM,
5/25/2021,Tue,Lower Ross,17:30,19:15,49,NCLL Purple,NCLL Koalas,05:00 PM - 07:30 PM,
5/25/2021,Tue,Loyal Heights Playfield #2,17:45,19:30,47,NCLL Bluebirds,BLL Phoenix,,
5/26/2021,Wed,LW3,18:00,20:00,158,Greenwood Hardware,Seattle Stained Glass,06:00 PM - 09:00 PM,
5/26/2021,Wed,LW3,18:30,20:30,67,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,06:00 PM - 09:00 PM,
5/26/2021,Wed,LW4,18:00,20:00,159,Morgan's Plumbing,TNT Taqueria,06:00 PM - 08:00 PM,
5/26/2021,,LW5,0:00,0:00,,,,06:00 PM - 08:00 PM,
5/26/2021,Wed,Lower Ross,17:30,19:45,54,NCLL Cheeto Sloths,NCLL Cube Smart Cats,05:00 PM - 07:30 PM,
5/26/2021,Wed,Northacres Park #2,18:00,20:15,58,NCLL Lightning Dogs,NWLL Ballard Pediatric Denistry,,
5/27/2021,,,0:00,0:00,,,NCLL Harjo Construction,,
5/27/2021,Thu,LW3,18:30,20:30,153,Ken's Market,Ken's Market,06:00 PM - 09:00 PM,
5/27/2021,Thu,LW4,18:15,20:00,94,QALL Phoenix,NCLL SantoriniDave.com,06:00 PM - 08:00 PM,
5/27/2021,Thu,LW5,18:15,20:00,154,Rough Riders,Reuben's Brewers,06:00 PM - 08:00 PM,
5/27/2021,,Lower Ross,0:00,0:00,,,,05:00 PM - 07:30 PM,
5/27/2021,Thu,Magnolia Playfield #2,17:30,19:45,90,NCLL Dynamite,MLL Panthers,,
