Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
7/11/2022,18:00,7/11/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-01,,1,NC-AA-02,,,,,,,,,,,,
7/11/2022,18:00,7/11/2022,20:00,Game,,Gilman 1,,,,Game,,NC-AAA-01,,1,NC-AAA-02,,,,,,,,,,,,
7/12/2022,18:00,7/12/2022,20:00,Game,,Lower Woodland 4,,,,Game,,NC-MAJ-01,,1,,,NE-MAJ-01,,,,,,,,,,
7/13/2022,18:00,7/13/2022,20:00,Game,,Laurelhurst Playfield 1,,,,Game,,NC-AA-01,,,,,NE-AA-01,,,,,,,,,,
7/14/2022,18:00,7/14/2022,20:00,Game,,Maple Leaf 1,,,,Game,,NC-AA-02,,1,,,RUG-AA-02,,,,,,,,,,
7/14/2022,18:00,7/14/2022,20:00,Game,,Laurelhurst Playfield 1,,,,Game,,NC-AAA-02,,,,,NE-AAA-01,,,,,,,,,,
7/14/2022,18:00,7/14/2022,20:00,Game,,Ballard Community Center 2,,,,Game,,NC-AAA-01,,,,,BL-AAA-01,,,,,,,,,,
7/14/2022,18:00,7/14/2022,20:00,Game,,Lower Woodland 4,,,,Game,,NC-MAJ-01,,1,,,QA-MAJ-02,,,,,,,,,,
7/18/2022,18:00,7/18/2022,20:00,Game,,Jane Addams Upper 1,,,,Game,,NC-AA-01,,1,,,RUG-AA-01,,,,,,,,,,
7/18/2022,18:00,7/18/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-02,,1,,,NE-AA-01,,,,,,,,,,
7/18/2022,18:00,7/18/2022,20:00,Game,,Lower Woodland 5,,,,Game,,NC-AAA-02,,1,,,QA-AAA-01,,,,,,,,,,
7/18/2022,18:00,7/18/2022,20:00,Game,,Maple Leaf 1,,,,Game,,NC-AAA-01,,1,,,RUG-AAA-01,,,,,,,,,,
7/19/2022,18:00,7/19/2022,20:00,Game,,Ballard Community Center 2,,,,Game,,NC-MAJ-01,,,,,BL-MAJ-01,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-02,,1,,,RUG-AA-01,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:00,Game,,BYE,,,,Game,,NC-AA-01,,1,,,BYE,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:00,Game,,Lower Woodland 4,,,,Game,,NC-AAA-01,,1,,,QA-AAA-02,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:00,Game,,Maple Leaf 2,,,,Game,,NC-AAA-02,,,,,RUG-AAA-02,,,,,,,,,,
7/21/2022,18:00,7/21/2022,20:00,Game,,BYE,,,,Game,,NC-MAJ-01,,1,,,BYE,,,,,,,,,,
7/25/2022,18:00,7/25/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-01,,1,,,RUG-AA-02,,,,,,,,,,
7/25/2022,18:00,7/25/2022,20:00,Game,,BYE,,,,Game,,NC-AA-02,,1,,,BYE,,,,,,,,,,
7/25/2022,18:00,7/25/2022,20:00,Game,,Lower Woodland 5,,,,Game,,NC-AAA-02,,1,,,QA-AAA-02,,,,,,,,,,
7/25/2022,18:00,7/25/2022,20:00,Game,,Maple Leaf 1,,,,Game,,NC-AAA-01,,,,,RUG-AAA-02,,,,,,,,,,
7/26/2022,18:00,7/26/2022,20:00,Game,,Lower Woodland 3,,,,Game,,NC-MAJ-01,,1,,,BL-MAJ-02,,,,,,,,,,
7/27/2022,18:00,7/27/2022,20:00,Game,,Magnuson 9,,,,Game,,NC-AAA-01,,,,,NE-AAA-01,,,,,,,,,,
7/28/2022,18:00,7/28/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-02,,1,NC-AA-01,,,,,,,,,,,,
7/28/2022,18:00,7/28/2022,20:00,Game,,Lower Woodland 3,,,,Game,,NC-AAA-02,,1,,,BL-AAA-01,,,,,,,,,,
7/28/2022,18:00,7/28/2022,20:00,Game,,Queen Anne 3,,,,Game,,NC-MAJ-01,,,,,QA-MAJ-01,,,,,,,,,,
8/1/2022,18:00,8/1/2022,20:00,Game,,Maple Leaf 2,,,,Game,,NC-AA-02,,,,,RUG-AA-02,,,,,,,,,,
8/1/2022,18:00,8/1/2022,20:00,Game,,Lower Ross,,,,Game,,NC-AA-01,,1,,,NE-AA-01,,,,,,,,,,
8/1/2022,18:00,8/1/2022,20:00,Game,,Maple Leaf 1,,,,Game,,NC-AAA-02,,1,,,RUG-AAA-01,,,,,,,,,,
8/2/2022,18:00,8/2/2022,20:00,Game,,Lower Woodland 3,,,,Game,,NC-AAA-01,,1,,,QA-AAA-01,,,,,,,,,,
8/2/2022,18:00,8/2/2022,20:00,Game,,Northacres 1,,,,Game,,NC-MAJ-01,,,,,NW-MAJ-01,,,,,,,,,,
8/3/2022,18:00,8/3/2022,20:00,Game,,Magnuson 10,,,,Game,,NC-AA-02,,,,,NE-AA-01,,,,,,,,,,
8/3/2022,18:00,8/3/2022,20:00,Game,,Meadowbrook 2,,,,Game,,NC-AA-01,,,,,RUG-AA-01,,,,,,,,,,
8/4/2022,16:00,8/4/2022,18:00,Game,,Lower Woodland 5,,,,Game,,NC-AAA-02,,1,NC-AAA-01,,,,,,,,,,,,
8/4/2022,18:00,8/4/2022,20:00,Game,,Lower Woodland 3,,,,Game,,NC-MAJ-01,,,,,QA-MAJ-02,,,,,,,,,,
8/8/2022,18:00,8/8/2022,20:00,Game,,BYE,,,,Game,,NC-AA-01,,1,,,BYE,,,,,,,,,,
8/8/2022,18:00,8/8/2022,20:00,Game,,Meadowbrook Playfield 3,,,,Game,,NC-AAA-01,,,,,BL-AAA-01,,,,,,,,,,
8/8/2022,18:00,8/8/2022,20:00,Game,,Maple Leaf 1,,,,Game,,NC-AAA-02,,1,,,NE-AAA-01,,,,,,,,,,
8/9/2022,18:00,8/9/2022,20:00,Game,,Meadowbrook 2,,,,Game,,NC-AA-02,,,,,RUG-AA-01,,,,,,,,,,
8/9/2022,18:00,8/9/2022,20:00,Game,,Magnuson 9,,,,Game,,NC-MAJ-01,,,,,NE-MAJ-01,,,,,,,,,,
