Game,Day,Date,Location,Game Start,Game End,Away,Home,
151,Saturday,5/8/2021,North Creek Sports Field #1,12:00 PM,2:00 PM,NLL Pink Panthers,NSLL Waves,
24,Saturday,5/8/2021,West Queen Anne Playfield #2,12:15 PM,2:00 PM,QALL Golden Phoenix,QALL Tiger Lillies,
25,Saturday,5/8/2021,Jane Adams Playfield - Lower,1:00 PM,2:45 PM,NESLL Bulldogs,NESLL Softball Snakes,
26,Saturday,5/8/2021,Lawton Park,2:00 PM,3:45 PM,MLL Montlake Partners,MLL W.G. Clark,
158,Saturday,5/8/2021,Northshore Athletic Fields #7,3:00 PM,5:00 PM,NBLL Huskies,WLL Fireballs,
27,Saturday,5/8/2021,Cromwell Park,4:00 PM,5:45 PM,RUGLL Fireflies,SLL Poison Bats,
159,Saturday,5/8/2021,Northshore Athletic Fields #6,4:45 PM,6:45 PM,NLL Sharpe,NBLL Cheetahs,
,,,,,,,,
181,Saturday,5/15/2021,Northshore Athletic Fields #6,8:00 AM,10:00 AM,NBLL Cheetahs,WLL Wolverines,
182,Saturday,5/15/2021,Northshore Athletic Fields #7,8:00 AM,10:00 AM,WLL Fireballs,WLL Jackrabbits,
28,Saturday,5/15/2021,Maple Leaf Park #1,9:15 AM,11:00 AM,NESLL Bulldogs,RUGLL Bees,
29,Saturday,5/15/2021,Ravenna Park #1,9:15 AM,11:00 AM,NESLL Purple Puppies,RUGLL Fireflies,
30,Saturday,5/15/2021,West Queen Anne Playfield #2,10:15 AM,12:00 PM,BLL Phoenix,QALL Thunder Cheetahs,
31,Saturday,5/15/2021,Jane Adams Playfield - Lower,11:00 AM,12:45 PM,SLL Poison Bats,NESLL Super Girls,
32,Saturday,5/15/2021,Ross Playground - Lower,11:00 AM,12:30 PM,MLL W.G. Clark,NCLL Bluebirds,
33,Saturday,5/15/2021,Lower Woodland Playfield #4,11:30 AM,1:00 PM,MLL Montlake Partners,NCLL Purple,
187,Saturday,5/15/2021,Logan Park,12:00 PM,2:00 PM,NSLL Waves,NBLL Huskies,
34,Saturday,5/15/2021,West Queen Anne Playfield #2,12:15 PM,2:00 PM,NCLL Koalas,QALL Golden Phoenix,
