Game,Day,Date,Location,Game Start,Game End,Away,Home,,,,,,
47,Saturday,5/22/2021,Dahl Playfield #3,11:00 AM,1:15 PM,RUGLL Alley Cats,NESLL Wolfpack,,,,,,
48,Saturday,5/22/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,NESLL Golden Girls,NCLL Cheeto Sloths,,,,,,
49,Saturday,5/22/2021,Lower Woodland Playfield #4,11:30 AM,1:30 PM,Northeast #3,NCLL Lightning Dogs,,,,,,
50,Saturday,5/22/2021,Loyal Heights Playfield #2,11:30 AM,1:45 PM,MLL Dearie Law Group,BLL Dragons,,,,,,
51,Saturday,5/22/2021,Northacres Park #2,12:30 PM,2:45 PM,NCLL Cube Smart Cats,NWLL Ballard Pediatric Denistry,,,,,,
52,Saturday,5/22/2021,West Queen Anne Playfield #2,2:15 PM,4:15 PM,MLL Dolphins,Queen Anne,,,,,,
,,,,,,,,,,,,,
53,Tuesday,5/25/2021,Lawton Park,5:30 PM,7:45 PM,MLL Dolphins,MLL Ferris Turney,,,,,,
54,Wednesday,5/26/2021,Ross Playground - Lower,5:30 PM,7:45 PM,NCLL Cheeto Sloths,NCLL Cube Smart Cats,,,,,,
55,Wednesday,5/26/2021,Dahl Playfield #2,6:00 PM,8:15 PM,RUGLL Alley Cats,Northeast #3,,,,,,
56,Wednesday,5/26/2021,Magnolia Playfield #2,6:00 PM,8:15 PM,SCLL Comets,MLL Blue Tigers,,,,,,
57,Wednesday,5/26/2021,Mickey Merriam Playfield #9,6:00 PM,8:15 PM,NESLL Wolfpack,NESLL Golden Girls,,,,,,
58,Wednesday,5/26/2021,Northacres Park #2,6:00 PM,8:15 PM,NCLL Lightning Dogs,NWLL Ballard Pediatric Denistry,,,,,,
59,Wednesday,5/26/2021,West Queen Anne Playfield #2,6:00 PM,8:15 PM,BLL Dragons,Queen Anne,,,,,,
,,,,,,,,,,,,,
60,Wednesday,6/2/2021,Ross Playground - Lower,5:30 PM,7:45 PM,NCLL Cube Smart Cats,NCLL Lightning Dogs,,,,,,
61,Wednesday,6/2/2021,Judkins Park #2,6:00 PM,8:15 PM,MLL Ferris Turney,SCLL Daisies,,,,,,
62,Wednesday,6/2/2021,Magnolia Playfield #2,6:00 PM,8:15 PM,MLL Dearie Law Group,MLL Dolphins,,,,,,
63,Wednesday,6/2/2021,Maple Leaf #2,6:00 PM,8:15 PM,NWLL Ballard Pediatric Denistry,RUGLL Alley Cats,,,,,,
64,Wednesday,6/2/2021,Mickey Merriam Playfield #10,6:00 PM,8:15 PM,NCLL Cheeto Sloths,NESLL Wolfpack,,,,,,
65,Wednesday,6/2/2021,View Ridge Playfield #2,6:00 PM,8:15 PM,NESLL Golden Girls,Northeast #3,,,,,,
66,Thursday,6/3/2021,Lawton Park,5:30 PM,7:45 PM,BLL Dragons,MLL Blue Tigers,,,,,,
67,Saturday,6/5/2021,Lawton Park,9:00 AM,11:15 AM,MLL Blue Tigers,MLL Dearie Law Group,,,,,,
68,Saturday,6/5/2021,Maple Leaf #2,9:00 AM,11:00 AM,NCLL Lightning Dogs,RUGLL Alley Cats,,,,,,
69,Saturday,6/5/2021,Mickey Merriam Playfield #9,9:00 AM,11:00 AM,NWLL Ballard Pediatric Denistry,NESLL Golden Girls,,,,,,
70,Saturday,6/5/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,NESLL Wolfpack,NCLL Cube Smart Cats,,,,,,
71,Saturday,6/5/2021,Lower Woodland Playfield #4,11:30 AM,1:30 PM,Northeast #3,NCLL Cheeto Sloths,,,,,,
72,Saturday,6/5/2021,West Queen Anne Playfield #2,12:15 PM,2:15 PM,MLL Ferris Turney,Queen Anne,,,,,,
73,Saturday,6/5/2021,Gilman Playfield #2,1:30 PM,3:45 PM,MLL Dolphins,BLL Dragons,,,,,,
,,,,,,,,,,,,,
74,Wednesday,6/9/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,Queen Anne,MLL Dolphins,,,,,,
75,Wednesday,6/9/2021,Ross Playground - Lower,5:30 PM,7:30 PM,NWLL Ballard Pediatric Denistry,NCLL Cheeto Sloths,,,,,,
76,Wednesday,6/9/2021,Ballard Community Center #1,5:45 PM,8:00 PM,MLL Ferris Turney,BLL Dragons,,,,,,
77,Wednesday,6/9/2021,Laurelhurst Playfield #2,6:00 PM,8:15 PM,NCLL Lightning Dogs,NESLL Golden Girls,,,,,,
78,Wednesday,6/9/2021,Lawton Park,6:00 PM,8:15 PM,SCLL Comets,MLL Dearie Law Group,,,,,,
79,Wednesday,6/9/2021,Maple Leaf #2,6:00 PM,8:15 PM,NCLL Cube Smart Cats,RUGLL Alley Cats,,,,,,
80,Wednesday,6/9/2021,View Ridge Playfield #2,6:00 PM,8:15 PM,Northeast #3,NESLL Wolfpack,,,,,,
81,Saturday,6/12/2021,Ballard Community Center #1,9:00 AM,11:15 AM,Queen Anne,BLL Dragons,,,,,,
82,Saturday,6/12/2021,Lawton Park,9:00 AM,11:15 AM,MLL Dearie Law Group,MLL Dolphins,,,,,,
83,Saturday,6/12/2021,Maple Leaf #2,9:00 AM,11:00 AM,NESLL Golden Girls,RUGLL Alley Cats,,,,,,
84,Saturday,6/12/2021,Mickey Merriam Playfield #9,9:00 AM,11:00 AM,NWLL Ballard Pediatric Denistry,NESLL Wolfpack,,,,,,
85,Saturday,6/12/2021,Lower Woodland Playfield #3,11:30 AM,1:30 PM,Northeast #3,NCLL Cube Smart Cats,,,,,,
86,Saturday,6/12/2021,Lower Woodland Playfield #4,11:30 AM,1:30 PM,NCLL Cheeto Sloths,NCLL Lightning Dogs,,,,,,
87,Saturday,6/12/2021,Lawton Park,12:00 PM,2:15 PM,MLL Blue Tigers,MLL Ferris Turney,,,,,,
,,,,,,,,,,,,,
